order_id,customer_id,salesperson_id,place_id,order_date,shipping_date
10001,362,315,224,2024-11-11,2024-11-19
10002,457,302,437,2020-01-06,2020-01-16
10003,610,322,363,2019-12-23,2019-12-31
10004,330,345,342,2020-01-19,2020-01-23
10005,732,340,201,2021-07-18,2021-07-27
10006,787,301,419,2021-09-21,2021-09-24
10007,491,344,253,2020-04-10,2020-04-16
10008,28,332,427,2024-08-10,2024-08-19
10009,874,310,424,2022-07-23,2022-07-29
10010,154,301,357,2023-10-26,2023-10-29
10011,928,322,366,2023-06-23,2023-06-30
10012,814,336,364,2020-12-03,2020-12-08
10013,494,326,482,2023-02-27,2023-03-02
10014,532,325,338,2023-10-15,2023-10-21
10015,799,336,271,2020-04-10,2020-04-16
10016,855,329,280,2024-05-20,2024-05-23
10017,123,321,380,2019-11-22,2019-11-30
10018,737,315,394,2024-10-23,2024-10-25
10019,64,309,362,2025-01-02,2025-01-08
10020,952,310,401,2025-04-13,2025-04-15
10021,916,305,340,2025-09-13,2025-09-23
10022,972,339,230,2020-11-01,2020-11-08
10023,335,307,230,2020-09-12,2020-09-15
10024,116,310,305,2021-09-13,2021-09-15
10025,628,325,361,2022-01-20,2022-01-30
10026,532,326,366,2023-10-14,2023-10-24
10027,197,335,322,2020-01-27,2020-01-28
10028,724,325,277,2025-03-06,2025-03-10
10029,994,350,476,2022-03-17,2022-03-20
10030,639,343,246,2021-04-07,2021-04-15
10031,806,347,281,2022-04-26,2022-04-29
10032,751,316,280,2020-04-18,2020-04-20
10033,359,318,407,2025-02-07,2025-02-09
10034,144,322,493,2025-05-30,2025-06-08
10035,835,324,456,2025-05-10,2025-05-14
10036,986,324,214,2020-01-17,2020-01-21
10037,570,334,286,2021-05-26,2021-05-27
10038,609,324,224,2023-10-11,2023-10-20
10039,241,329,269,2022-10-11,2022-10-12
10040,592,310,494,2025-07-28,2025-08-02
10041,821,302,201,2019-11-30,2019-12-10
10042,585,329,233,2024-03-02,2024-03-12
10043,265,336,443,2023-06-03,2023-06-08
10044,329,321,330,2022-12-22,2022-12-26
10045,948,328,206,2023-11-18,2023-11-28
10046,792,311,239,2020-11-27,2020-12-07
10047,9,339,392,2023-06-11,2023-06-15
10048,415,320,271,2025-07-19,2025-07-20
10049,121,348,318,2025-08-29,2025-09-08
10050,864,346,247,2023-01-16,2023-01-17
10051,344,323,379,2020-11-07,2020-11-17
10052,337,331,450,2021-11-29,2021-12-07
10053,32,322,302,2024-04-12,2024-04-19
10054,256,302,361,2022-11-08,2022-11-10
10055,561,302,262,2021-07-18,2021-07-27
10056,84,308,459,2024-01-04,2024-01-07
10057,895,341,440,2023-12-05,2023-12-06
10058,554,309,493,2019-11-09,2019-11-17
10059,526,344,225,2025-02-03,2025-02-12
10060,580,349,275,2024-09-28,2024-09-30
10061,188,344,489,2024-04-04,2024-04-13
10062,296,314,297,2020-05-02,2020-05-04
10063,683,340,262,2023-09-22,2023-09-28
10064,228,302,301,2024-06-20,2024-06-26
10065,561,308,207,2021-12-06,2021-12-16
10066,819,317,347,2024-11-22,2024-11-28
10067,269,314,280,2025-01-21,2025-01-30
10068,352,304,355,2020-03-29,2020-04-05
10069,38,317,242,2025-09-10,2025-09-17
10070,66,348,339,2024-04-06,2024-04-15
10071,992,329,423,2024-01-25,2024-01-27
10072,586,333,391,2020-07-05,2020-07-07
10073,369,314,372,2024-03-22,2024-03-28
10074,937,324,306,2023-12-12,2023-12-21
